Data Terms of Use,https://www.edf.org/airqualitymaps/download-oakland-air-pollution-data ,,,
Longitude,Latitude,NO Value,NO2 Value,BC Value
-122.1838673,37.76032806,2.620782851,6.726550354,0.195355137
-122.1838654,37.73660677,7.429716979,10.50832568,0.362354232
-122.1838637,37.73030294,4.500000097,10.1549601,0.463104844
-122.1838612,37.7347749,11.53789564,10.59513479,0.435641082
-122.1838395,37.73108617,2.750881254,7.040953318,0.047197003
-122.1838344,37.76129671,10.7555558,13.48387112,0.502493462
-122.1838317,37.73537054,26.24000023,17.8239994,0.694281927
-122.1838315,37.73537081,24.64983347,17.7078372,0.455892758
-122.1838305,37.7282161,7.666666992,12.03144547,0.194285103
-122.1838213,37.75312643,3.305555482,7.34868187,0.226800962
-122.1838204,37.72960552,4.333333423,10.70586,0.3221318
-122.1838195,37.7351077,12.47154468,11.0030001,0.387213137
-122.1838188,37.74376233,7.696980132,10.69366678,0.619977973
-122.1838041,37.73340758,2.803571466,7.100533358,0.158031289
-122.183784,37.737331,3.571428602,5.826847924,0.415140942
-122.1837819,37.75645989,2.611940379,7.57480241,0.206606466
-122.183767,37.75534906,2.666666677,4.949200058,0.1841335
-122.1837477,37.75410146,2.739130459,7.667777803,0.234649457
-122.1837467,37.73933781,2.044776199,6.906531535,0.416935765
-122.1837455,37.76151237,14.29999992,13.23972882,0.336544521
-122.1837424,37.73795393,1.725049448,5.822661154,0.331195366
-122.183735,37.75228165,2.340659361,5.863701394,0.337981517
-122.1837339,37.73367215,1.557504927,6.984857116,0.363071653
-122.1837249,37.7503178,6.223586469,9.568233985,0.360305088
-122.1837211,37.75741906,6.603174739,6.655631676,0.569360898
-122.1837202,37.73562632,41.19230692,19.48430073,0.619957353
-122.1837159,37.74838788,3.000000142,5.446808107,0.02690691
-122.1837095,37.73435011,4.279365196,7.868365009,0.476035667
-122.1837016,37.75127729,2.941176542,5.972604156,0.469437559
-122.1837002,37.73124706,3.170000071,7.399498123,0.136845376
-122.1837001,37.74687601,6.11257213,10.50657205,0.532291591
